Orgineel,Synoniem,Dialect
Fiets,Rijwiel,0
Fiets,Stalen ros,1
Fiets,Tweewieler,0
Fiets,Velo,0
Fietsband,Binnenband,0
Fietsband,Buitenband,0
Fietsband,Luchtband,0
Fietsband,Rubberband,0
Fietsband,Tuub,1
Fietshelm,Helm,0
Fietshelm,Koershelm,1
Filmrolletje,Filmstrook,0
Filmrolletje,Fotorolletje,0
Filter van dampkap,Afzuigkapfilter,0
Filter van dampkap,Dampkapfilter,0
Fineerhout,Fineer,0
Fineerhout,Opleghout,0
Fineerhout,Plakhout,1
Fixeervloeistof,Fixeer,0
Fixeervloeistof,Fixeermiddel,0
Flacon,Heupfles,0
Fles,Bottel,1
Flesopener,Aftrekker,1
Flesopener,Flessenopener,0
Flesopener,Jupilateur,1
Flesopener,Opendoender,1
Flesopener,Stoppentrekker,1
Flesopener,Ullewupper,1
Flesopener,Ziboulateur,1
Flosdraad,Floss,0
Flosdraad,Tandzijde,0
Fluostift,Accentueerstift,0
Fluostift,Arceerstift,0
Fluostift,Blekstifte,1
Fluostift,Fluorstift,0
Fluostift,Markeerstift,0
Folie,Foelie,0
Fond de teint,Bruinsel,1
Fond de teint,Foundation,0
Fopspeen,Futte,1
Fopspeen,Loete,1
Fopspeen,Lokkedizze,1
Fopspeen,Teute,1
Fopspeen,Tut,1
Fopspeen,Tutter,0
Formol,Formaline,0
Formol,Formaline,0
Formol,Methanal,0
Formol,Sterk water,0
Fosforzuur,Orthofosforzuur,0
Foto,Kiekje,0
Fotocamera,Fototoestel,0
Frituurvet,Frietvet,0
Frituurvet,Fritvet,1
Gasfles,Gascilinder,0
Gasfles,Gasreservoir,0
Gebak,Banket,0
Gebak,Biscuit,-1
Gebak,Cake,-1
Gebak,Eclair,-1
Gebak,Koek,0
Gebak,Koffiekoek,-1
Gebak,Pateeke,1
Gebak,Patisserie,0
Gebak,Taart,0
Gel,Brillantine,0
Gelaagd glas,Kogelbestendig glas,0
Gelaagd glas,Kogelvrij glas,0
Gelaagd glas,Kogelwerend glas,0
Gelaagd glas,Veiligheidsglas,0
Geneesmiddel,Heelmiddel,0
Geneesmiddel,Medicament,0
Geneesmiddel,Medicatie,0
Geneesmiddel,Medicijn,0
Geneesmiddel,Preparaat,0
Gewichten,Halters,0
Gif,Vergif,0
Gif,Vergift,0
Gips,Plaaster,1
Gips,Pleister,0
Gipsplaat,Gipskartonplaat,0
Gipsplaat,Gipsvezelplaat,0
Gipsplaat,Gyproc,0
Gipsplaat,Gyprocplaten,0
Glasvezel,Fiber,0
Glasvezel,Fibre,0
Glasvezelbehang,Fleezdoek,0
Glasvezelbehang,Glasvliesbehang,0
Glasvezelbehang,Kaarsdoek,0
Glasvezelbehang,Tasso,0
Gordijn,Draperie,1
Gordijn,Gerdien,1
Gordijn,Overgordijn,0
Gordijn,Stoor,1
Gordijn,Vitrage,0
Grammofoonplaat,Elpee,0
Grammofoonplaat,Fonoplaat,0
Grammofoonplaat,Langspeelplaat,0
Grammofoonplaat,LP,0
Grammofoonplaat,Plaat,0
Grammofoonplaat,Vinylplaat,0
Gras,Gès,1
Graszode,Plag,0
Graszode,Plagge,0
Gsm,Mobiele telefoon,0
Gsm,Mobieltje,0
Haarschuim,Haarmousse,0
Haarschuim,Hairfoam,0
Haarverf,Haarkleuring,0
Haarverf,Haarkleurmiddel,0
Halssnoer,Collier,0
Halssnoer,Halsketting,0
Halssnoer,Parelketting,0
Hamer,Amere,1
Hamer,Hamel,1
Handdoek,Keukenhanddoek,0
Handdoek,Nantoek,1
Handschoen,Aese,1
Handschoen,Haas,1
Handschoen,Haos,1
Handschoen,Heisj,1
Handschoen,Want,0
Handtas,Buidel,0
Handtas,Chacoche,1
Handtas,City-bag,0
Handtas,Kabas,0
Handtas,Kazak,0
Handtas,Sacoche,1
Handtas,Schoudertas,0
Handtas,Sjakosse,1
Hangslot,Carna,1
Hangslot,Maalslot,1
Hangslot,Molslot,1
Hangslot,Paddeslot,1
Hoed,Chapeau,0
Hoed,Klak,1
Hoed,Klakke,1
Hoed,Pet,0
Hondenpoep,Hondendrol,0
Horloge,Aloyze,1
Horloge,Klökske,1
Horloge,Leuzie,1
Horloge,Leuzze,1
Horloge,Losie,1
Horloge,Lozie,1
Horloge,Polshorloge,0
Horloge,Uurwerk,0
Horloge,Zakhorloge,0
Houtbeschermingsmiddel,Houtverduurzamingmiddel,0
Houtkrullen,Houtkrollen,1
Houtskool,Carbo,0
Houtskool,Verkoold hout,0
Ijzer,Ferrum,0
Incontinentiemateriaal,Incontinentieluier,0
Inktpatroon,Cartridge,0
Inktpatroon,Inktcartouche,0
Inktpatroon,Inktcartridge,0
Inlegkruisje,Damesverband,0
Inlegkruisje,Maandverband,0
Insectenspray,Citronel spray,0
Insectenspray,DEET,2
Isomo,Depron,0
Isomo,Frigoliet,1
Isomo,Geëxpandeerd polystyreen,0
Isomo,Piepschuim,0
Isomo,Polystyreen,0
Isomo,PS-hardschuim,0
Isomo,Styropor,0
Isomo,Tempex,0
Kaars,Bougie,1
Kaars,Keske,1
Kaarsvet,Kaarsroet,0
Kaarsvet,Kjeisriet,1
Kaart met magneetband,Kaart met magneetstrip,0
Kapstok,Frakstok,1
Kapstok,Kleerhanger,0
Kapstok,Klerenstandaard,0
Kapstok,Porte manteau,1
Karton,Bordpapier,0
Karton,Doze,1
Kassei,Kassietse,1
Kassei,Kinderhoofdje,0
Kassei,Kinderkopje,0
Kassei,Kletskop,1
Kassei,Kolsie,1
Kassei,Straatkei,0
Kerstboom,Kerstenbuum,1
Kerstboom,Krisboum,1
Ketchup,Ketsiap,0
Ketchup,Tomatenketchup,0
Ketchup,Tomatonaise,0
Ketting,Keten,0
