Wat,Waar
Raam (hout/ kunststof),Houtafval/ grofvuil
Rattenvergif,KGA
Reclamedrukwerk,"Papier en karton
: vraag een sticker 'geen reclamedrukwerk aub' bij je gemeente of stad en kleef deze op je brievenbus."
Remover (voor nagellak),Met of zonder product: KGA
Rieten meubel,Grofvuil
Ringmap,Restafval
Rolschaats,Restafval
Roofing,Bouwafval
Röntgenfoto,KGA
Salon,"Grofvuil
: nog niet versleten salons kunt u gratis laten ophalen door de kringwinkel"
Schoen,Textielafval
Schuurpapier,Restafval
Skateboard,Restafval
Skeeler,Restafval
Ski,Grofvuil
Soda,Met of zonder product: KGA
Soep,"Afgezeefd: giet in gootsteen of toilet
Afzeefsel: restafval"
Solventen,Met of zonder product: KGA
Spaarlamp,KGA
Speelgoed,"Hout: houtafval
Metaal: oude metalen
Kunststof: restafval"
Spiegel,Vlak glas
Spiritus,Met of zonder product: KGA
Spuitbus,"Cosmetica (deodorant, haarlak, ...): met product : KGA, zonder : PMD
Andere dan cosmetica of voeding: met of zonder product: KGA
: overweeg navulbare verstuivers met handpomp, rollers ..."
Spuitje,Zonder injectienaald (kunststof): restafval
Steel,"Hout: houtafval
Kunststof: restafval
Metaal: oude metalen"
Steenpuin,Bouwafval; steenpuin
Stempelkussen,KGA
Stemvork,Oude metalen
Sterk water,KGA
Sticker,Restafval
Stift,"Vilt, alcohol: KGA"
Stoel,"Hout: houtafval of containerpark
Kunststof: grofvuil
Metaal of metalen poten: oude metalen"
Stofzuigerzak,"Restafval
: uitschudden boven de vuilbak, kan meerdere keren gebruikt worden"
Stookolie,KGA
Stro,Groenafval of composteerbaar
Stronk,"Groenafval (enkel containerpark)
: laat stronk ter plaatse verteren"
Strooizout,KGA
Struik,Groenafval of composteerbaar
Suiker,"Restafval, composteerbaar of de kippen"
TL-lamp,KGA
Tafellaken,"Papier: restafval
Textiel: textielafval"
Tandenborstel,Restafval
Tapijt,Grofvuil
Telefoonboek,Papier en karton
Terpentijn,Met of zonder product: KGA
Toiletreiniger,Met of zonder product: KGA
Touw,Restafval
Tuinslang,Restafval
Turfzak,"Uit kunststof, leeg: restafval"
UV-lamp,Zonnebank: KGA
Uitwerpselen,"Van kleine huisdieren: restafval (beperkte hoeveelheden), gewicht restafvalzak max. 15kg
: dierlijke uitwerpselen van planteneters: mest is composteerbaar"
Vaas,Glas of aardewerk: bouwafval
Veegvuil,Restafval
Vensterglas,Vlak glas
