0,1
Deksel of dop (plastic),PMD-zak
Deodorant (lege spuitbus),PMD-zak
Detergent (lege flacon),PMD-zak
Dettol,Recyclagepark (KGA)
Deur (hout),Recyclagepark (hout)
Deurklink (kunststof/metaal),Restafvalzak / Recyclagepark (metaal)
Dia's,Restafvalzak
Dichloormethaan,Recyclagepark (KGA)
Dieetvoeding,Restafvalzak
Diepvries,Recyclagepark (elektro)
Diepvries (bruikbaar),Kringwinkel
Diepvrieszakjes,PMD-zak
Dierlijke uitwerpselen,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Diskette,Restafvalzak
Dissolvant,Recyclagepark (KGA)
Distels,Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Doekjes,Restafvalzak
Dompelaar,Recyclagepark (elektro)
Donsdeken (beddengoed),Bevuild: restafvalzak Versleten: textielcontainer Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Dood huisdier,"Contacteer Rendac, Denderleeuw 053/64 02 34"
Doos (karton),Papier en karton
Doos (metaal),Recyclagepark (metaal) of PMD-zak
Dop (metaal/kunststof),PMD-zak (Let wel: fles platdrukken en dop erop)
Douchegel (lege flacon),PMD-zak
Drankkarton (leeg),PMD-zak
Drankzakje (type caprisun),Restafvalzak
Drinkbus (metaal/plastic),Recyclagepark (metaal) / Restafvalzak
Drinkglas,Recyclagepark (niet recycleerbaar)
Drinkglas (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Drinkyoghurt (lege flacon),PMD-zak
Droogkast,Recyclagepark (elektro)
Droogkuisproduct,Recyclagepark (KGA)
Droogmolen,Droogmologen > metaal 	Let wel: de plastic draad afknippen > restafvalzak of brandbaar grofvuil
Dweil,Restafvalzak
Dynamiet,Politie bellen
"Eau de toilette, parfum (lege fles)",Glasbol
Eetgerei,Recyclagepark (metaal)
Eierdozen (karton),Papier en karton
Eierdozen (plastic),Restafvalzak
Eierkoker,Recyclagepark (elektro)
Eierschalen,restafvalzak
Elektriciteitsdraad,Recyclagepark (elektriciteitskabels)
Elektrisch mes,Recyclagepark (elektro)
Emmer (metaal),Recyclagepark (metaal)
Emmer (plastic),Recyclagepark (harde plastics)
Encyclopedie (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Envelop,Papier en karton
Epileerapparaat,Recyclagepark (elektro)
Epoxyharsen (aparte componenten),Recyclagepark (KGA)
Epoxyharsen (uitgehard),Restafvalzak
Espresso-automaat,Recyclagepark (elektro)
Etensresten,Voederen aan de kippen of restafvalzak
Etensresten (gekookte),Voederen aan de kippen of restafvalzak
Ethanol,Recyclagepark (KGA)
Ether,Recyclagepark (KGA)
Etiketten,Restafvalzak
Eyeliner,Recyclagepark (KGA)
Faience,Recyclagepark (niet recycleerbaar)
Faxpapier (thermisch of niet thermisch),Papier en karton
Faxtoeste,Recyclagepark (elektro)
Faxtoestel (bruikbaar),Kringwinkel
Fiets,Recyclagepark (metaal)
Fiets (bruikbaar),Kringwinkel
Fietsbanden,Restafvalzak
Fietsframe,Recyclagepark (metaal)
Fietshelm,Restafvalzak of indien te groot: recyclagepark (perscontainer brandbaar grofvuil)
Fietspomp,Restafvalzak
Fietsslot,Recyclagepark (metaal)
Filmrol,Recyclagepark (KGA)
Filter van de dampkap,Restafvalzak
Filterzakjes,Thuiscomposteren of restafvalzak
Fineerhout,Recyclagepark (hout)
Fixeermiddel,Recyclagepark (KGA)
Fles frituurolie,Een fles van frituurolie is klein gevaarlijk afval. Dus breng je die naar het recyclagepark.
Flessen (glas),Glasbol
Fluostiften,Recyclagepark (KGA)
Fond de teint,Recyclagepark (KGA)
Fondue-olie,Recyclagepark (KGA)
Fondueset,Recyclagepark (elektro)
Formol,Recyclagepark (KGA)
Fornuis,Recyclagepark (elektro)
Fornuis (bruikbaar),Kringwinkel
Fosforzuur,Recyclagepark (KGA)
Foto,Restafvalzak
Fotocamera,Recyclagepark (elektro)
Fotografisch product,Recyclagepark (KGA)
Frigobox,Recyclagepark (perscontainer brandbaar afval)
Frituurketel,Recyclagepark (elektro)
Frituurolie,Recyclagepark (KGA) Let wel: giet de olie met trechter in de oorspronkelijke verpakking of een andere plastic fles
Frituurpan,Recyclagepark (elektro)
Frituurvetten,Recyclagepark (KGA)
Fruitkist (hout/kunststof),Recyclagepark (hout) / (harde plastics)
Fruitpocket,Restafvalzak
Fruitresten,"Thuiscomposteren of voederen aan de kippen, eendenâ¦ of restafvalzak"
GSM,Recyclagepark (elektro)
Garnaal,Restafvalzak
Gasflessen - eenmalig gebruik,Geperforeerd (bv wegwerpcartouches kampeergas) of niet geperforeerd (Bv. ballonnen)Â Â Recyclagepark: bij Klein Gevaarlijk AfvalÂ
Gasflessen - herbruikbaar,"Butaan- en propaangasflessen blijven eigendom van de gasleverancier. Lege gasflessen of gasflessen die je niet meer gebruikt, breng je zo snel mogelijk terug naar de verdeler van gasflessen waar je ze oorspronkelijk hebt gekocht. Een lijst van verdelers en verkooppunten vind je op www.mijngasfles.be."
Gasfornuis,Recyclagepark (metaal)
Gaskachel,Recyclagepark (metaal)
Gaskachel (bruikbaar),Kringwinkel
Gebak (rest),Voederen aan de kippen of restafvalzak
Gebit,Restafvalzak
Gel (tube),PMD-zak
Gelaagd glas,Recyclagepark (vlak glas)
Geluidsbox,Recyclagepark (elektro)
Geneesmiddelen,Apotheker
