Wat?
gebruikt wc-papier
smeerkaaskuipje
wenskaarten
zeepsponjes
koffiepads
buisman
cornflakes pak
leukoplast
schelpen
frietzakje
plastic bestek
pritt stift
dop van plastic
kunststof slippers
afwasborstel hout
sambalpotje
pompje handzeep
blik
foto ontwikkelaar
inktpatronen printer
gebroken schaal van glas
terpentinefles
swiffer doekjes
injectienaalden
versleten kleding
papier van margarine of boter
injectie hulzen
zakdoekjes
polystyreen vulmateriaal
plastic folie van bijvoorbeeld een pakje thee
vriezer
tuinbank en -meubilair
accuboormachine
mantel
sauspak
computermuis
golfkarton
creditcard
strooibus poedersuiker
vervuild papier en karton
magazines
papieren broodzak met plastic
sauszakje met alumunium folie binnenzijde
magnetronfolie
pleisters
wasbenzinefles
plastic kaasranden
melkcupje
microvezeldoekje
chilisaus
olijfolie
pizzadoos zonder etensresten
grammofoonplaten
autobanden
oude diskettes voor computer
potgrondzak
fruitbakje
limonadeblik
permanente
eierschalen
lampenolie
post-its
koffieapparaat
lappen stof
verpakkingspiepschuim
tuinaarde
rubberlaarzen
catheter voor urine
pizzadoos met etensresten
sigarettendoosje
vla beker
gelamineerd papier
afwasmachine
soepblik
mosselschelpen
klustape
kartonnen doos
balpenvulling
buitenverpakking bifiworst
pak van bijvoorbeeld tomaten-passata
afval uit de stofzakloze stofzuiger
rubber slippers
papieren zakdoekje of tissue
gel markeerstift
bierdopje
boterkuipje folie
tafelzeil
katoen
pampers
schroefdop wijnfles
bestrijdingsmiddelen
knijpfruit
croissantdeegverpakking
bedorven voedsel
brie verpakking
tuinstoelen
aluminium kuipje van theelichtje zonder inhoud
fleece
hagelslag pak
kit
lucifers
tuinhout
cd-hoesje
zilvervliesrijst
ontbijtgranen pak
washandjes
handschoenen haarverf
plastic tasjes en zakjes
borosilicaat-glas
bidon
kranten
rieten mand
siroopfles
negatieven van foto’s
incontinentieluiers
sausbakje
kamerplanten
afwasteil
kattenvoerblik
kerstverlichting
broodsluiting
mierenlokdoos zonder kruissymbool
pillendoordrukstrip
nappa-leren handschoenen
potjes van medicijnen en vitamines
celstof inlegvel voor wasbare luier
panty
houtwol
bestrijdingsmiddelencontainer
contactlenzen
hoeslaken
purschuim
plastic neusspray verpakking
koperdraad
watten of wattenschijfjes
camembertdoosje
jack
lippenbalsem
pvc-verpakking
verpakking ontbijtkoek
sluitclips
pen
visresten
groenten en groentenresten
schoonmaakdoekjes
bakolie
sinaasappel schillen
bamboe
trui
tasje van plastic
brinta wake-up zakje
glossy papier
cocktailprikkers
videoband doos of hoes
zeeprestant
folie met lijm- of plakresten
horgordijn
oploskoffie zakje
riet
hittebestendig glas
kozijnen
rookworst verpakking
conservenblik
houtskool en houtskoolresten
graten van vis
waterkoker
hamburger bakje piepschuim
verpakking potgrond
jeans
infuuszakken
verpakking van kruidenmix
senseo verpakking
chipszakken met aluminium binnenlaagje
speelgoedverpakking
zakken en verpakkingen van diervoeding
muesli pak
jus
koffiemelkcupje
haarroller
simkaart
geplastificeerd papier
papieren dozen van diepvriesproducten
kattenbakkorrels
kwastenreiniger
nagelvijl van karton
kousen
reclamefolders
cd-speler
droogzakjes
dvd-speler
waxinelichtje
morfinepleister
gebaksdoos van karton en plastic
babyvoeding
slagroom karton
klapkrat
boterwikkel
tube zonnebrandcreme halfvol
bentoniet kattenbakvulling
kartonnen verpakkingen
verhuisdoos
mandarijnen-netjes
rugzak
elpees
banaan
telefoon
deodorantroller
rijstzak
klokhuis
bankafschriften
snoer met stekker
frisbee
laminaat
oordopjes
tl-buizen
spareribs botten
schaaltje van vleeswaren of vis
vleesbakje
kwikthermometer
fruit en fruitresten
lakens
tampons
biologisch afbreekbaar kattengrit
slagroombeker met aluminium deksel
kippenmest
enveloppen
pitten
drinkpakje
plamuur
shampoo fles
ananasschil
aluminium schaal
boodschappenkrat
wasknijpers
leeg cremepotje van hard plastic
elektrische deken
fles van bleekwater
papier met nietjes
afgewerkte olie
huisraad
vinyl
billendoekjes
houten planken
medicijnverpakking
glazen vaas
schillen en resten
theelichtverpakking
koekblik
koffiefilters
condoomverpakking
gordijnen
houten wattenstaafjes
takken
pakken van melk
iphone
asbakresten
papiersnippers
caviamest
plastic diamagazijnen
theedoek
plastic lunchbox
verpakkingswokkel polystreen
salpeterzuur
coffeepads
grof tuinafval
uiennet
plastic scheermesjeshouder
medicijnen
slagroom patroon
bankpas
ondervel van stickers
kippengaas
petroleum
plastic spaarpot
kauwgum verpakking
afdekzeil
deeg
ovenreiniger
foto’s en foto-papier
theeverpakking
koolstof afzuigkap filters
vinylbehang
kaasverpakking
föhn
t-shirt
lege spuitbus
lp’s
behanglijm
boeken
colour catcher
kruik van aardewerk
bonnetjes
tennisbal
konijnenkeutels
sloopafval
binnenverpakking beschuitrol
deur
ontlasting poes
plakstrip
droogtrommeldoekjes
oplaadbare batterijen
scheerschuimbus
spaarlampen
medicinale spuiten
absorptievellen in vleesverpakkingen
surfplank
cartridges
luciferdoosje
kapot textiel
ovenschaal of magnetronschaal
kwikschakelaar
royal t-stick theestaafjes
verpakking tuinaarde
haarlakbus
kattenvoerzakjes
koptelefoon
vochtig toiletpapier
walnoot doppen
waterflesje
ipad
folie van tijdschriften en folders
verfresten
yakult verpakkingsfolie
spijkers
worstenvel van natuurdarm
plantenpot van kunststof
tube
nespresso koffiecups
wegwerpscheermesjes
vermicelli
pringles bus
